"Sample","Latitude","Longitude","Location","Status","Site","Latitude.dec","Longitude.dec"
"9EFD1a",-28.68833333,113.8358333,"Easter","Fished","Suomi.Is.","-28 41.2999997999999","113 50.1499980000003"
"9EFD1b",-28.73880667,113.80437,"Easter","Fished","Woody.Is.","-28 44.3284002","113 48.2622000000003"
"9EFD1c",-28.69733333,113.7825,"Easter","Fished","Rat.Is.","-28 41.8399998000001","113 46.95"
"9EFD2a",-28.69211167,113.8370917,"Easter","Fished","Suomi.Is.","-28 41.5267002000001","113 50.2255020000002"
"9EFD2b",-28.741,113.8043333,"Easter","Fished","Woody.Is.","-28 44.4600000000001","113 48.2599979999999"
"9EFD2c",-28.70066667,113.7841667,"Easter","Fished","Rat.Is.","-28 42.0400002","113 47.0500019999997"
"9EFD3a",-28.69483333,113.8393333,"Easter","Fished","Suomi.Is.","-28 41.6899998000001","113 50.3599980000009"
"9EFD3b",-28.74355,113.8034133,"Easter","Fished","Woody.Is.","-28 44.613","113 48.2047980000003"
"9EFD3c",-28.7015,113.7866667,"Easter","Fished","Rat.Is.","-28 42.0899999999999","113 47.2000019999997"
"9EFD4a",-28.69766667,113.839,"Easter","Fished","Suomi.Is.","-28 41.8600001999999","113 50.3400000000004"
"9EFD4b",-28.745465,113.798215,"Easter","Fished","Woody.Is.","-28 44.7279","113 47.8929000000004"
"9EFD4c",-28.703455,113.7920083,"Easter","Fished","Rat.Is.","-28 42.2073000000002","113 47.520498"
"9EFD5a",-28.69983333,113.8415,"Easter","Fished","Suomi.Is.","-28 41.9899998000001","113 50.4899999999994"
"9EFD5b",-28.74383333,113.7936667,"Easter","Fished","Woody.Is.","-28 44.6299998","113 47.6200019999999"
"9EFD5c",-28.70966667,113.793,"Easter","Fished","Rat.Is.","-28 42.5800002000001","113 47.5800000000008"
"9EFS1a",-28.70316667,113.8423333,"Easter","Fished","Suomi.Is.","-28 42.1900002000002","113 50.5399980000007"
"9EFS1b",-28.75371333,113.7910233,"Easter","Fished","Woody.Is.","-28 45.2227998","113 47.4613980000004"
"9EFS1c",-28.706,113.7878333,"Easter","Fished","Rat.Is.","-28 42.3599999999999","113 47.2699980000005"
"9EFS2a",-28.7075,113.8426667,"Easter","Fished","Suomi.Is.","-28 42.45","113 50.5600019999993"
"9EFS2b",-28.75216667,113.7938333,"Easter","Fished","Woody.Is.","-28 45.1300002000001","113 47.6299980000001"
"9EFS2c",-28.704,113.7831667,"Easter","Fished","Rat.Is.","-28 42.2400000000001","113 46.9900020000001"
"9EFS3a",-28.71033333,113.842,"Easter","Fished","Suomi.Is.","-28 42.6199998000001","113 50.5200000000002"
"9EFS3b",-28.75168,113.798855,"Easter","Fished","Woody.Is.","-28 45.1007999999999","113 47.9313000000004"
"9EFS3c",-28.704,113.7788333,"Easter","Fished","Rat.Is.","-28 42.2400000000001","113 46.7299980000001"
"9EFS4a",-28.714,113.8413333,"Easter","Fished","Suomi.Is.","-28 42.8399999999999","113 50.4799980000001"
"9EFS4b",-28.74983333,113.8013333,"Easter","Fished","Woody.Is.","-28 44.9899998000001","113 48.0799980000001"
"9EFS4c",-28.7007,113.7788267,"Easter","Fished","Rat.Is.","-28 42.0420000000001","113 46.7296019999999"
"9EFS5a",-28.71770333,113.8400167,"Easter","Fished","Suomi.Is.","-28 43.0621998","113 50.4010020000006"
"9EFS5b",-28.74816667,113.8051667,"Easter","Fished","Woody.Is.","-28 44.8900002","113 48.3100020000003"
"9EFS5c",-28.69866667,113.7805,"Easter","Fished","Rat.Is.","-28 41.9200002","113 46.8299999999998"
"9ERD1",-28.67866667,113.8533333,"Easter","No-take","Leo.s.Is.","-28 40.7200002","113 51.1999980000003"
"9ERD2",-28.68042667,113.85549,"Easter","No-take","Leo.s.Is.","-28 40.8256001999999","113 51.3294000000004"
"9ERD3",-28.68179333,113.8562217,"Easter","No-take","Leo.s.Is.","-28 40.9075998","113 51.3733020000005"
"9ERD4",-28.68659833,113.8564583,"Easter","No-take","Leo.s.Is.","-28 41.1958997999999","113 51.3874980000003"
"9ERD5",-28.690225,113.8557133,"Easter","No-take","Leo.s.Is.","-28 41.4135000000002","113 51.3427980000008"
"9ERS1",-28.67366667,113.8436667,"Easter","No-take","Leo.s.Is.","-28 40.4200002","113 50.6200019999999"
"9ERS2",-28.67236,113.8430983,"Easter","No-take","Leo.s.Is.","-28 40.3416","113 50.585898"
"9ERS3",-28.6705,113.8441667,"Easter","No-take","Leo.s.Is.","-28 40.23","113 50.6500019999997"
"9ERS4",-28.67466667,113.8468333,"Easter","No-take","Leo.s.Is.","-28 40.4800002000001","113 50.8099979999999"
"9ERS5",-28.67666667,113.8506667,"Easter","No-take","Leo.s.Is.","-28 40.6000002000001","113 51.0400020000001"
