"inclusion.","ID","DropC","sample","lon","lat"
1,5573604,1,"SWC-BV-01",114.778943723286,-34.0934816313457
0.249994848464728,7553143,2,"SWC-BV-02",114.900864783229,-34.1120002285202
0.249994848464728,6970048,3,"SWC-BV-03",114.915763133005,-34.1074211907426
1,8023631,4,"SWC-BV-04",114.911864743533,-34.1160829417292
1,9604541,5,"SWC-BV-05",114.929230363921,-34.1294690971273
1,6043785,6,"SWC-BV-06",114.776632080826,-34.0973348137867
1,5869829,7,"SWC-BV-07",114.78550926865,-34.0960526287321
0.249994848464728,5078626,8,"SWC-BV-08",114.838757675176,-34.0904374387134
1,5342689,9,"SWC-BV-09",114.772364420475,-34.0914510144479
0.249994848464728,4242989,10,"SWC-BV-10",114.853274628573,-34.0837674480801
1,10437371,11,"SWC-BV-11",114.793019678857,-34.1340200289515
0.009803591473281,10043198,12,"SWC-BV-12",114.881583292098,-34.1322986583402
0.249994848464728,1738759,13,"SWC-BV-13",114.824343167376,-34.0625206947619
0.249994848464728,3189662,14,"SWC-BV-14",114.868267782797,-34.0753006572673
0.249994848464728,4377759,15,"SWC-BV-15",114.844407708814,-34.0847301798619
0.249994848464728,7874396,16,"SWC-BV-16",114.859926482352,-34.1139623111321
0.249994848464728,5766991,17,"SWC-BV-17",114.857375949639,-34.0964620611622
1,2995943,18,"SWC-BV-18",114.775472476471,-34.0720683157789
1,8795658,19,"SWC-BV-19",114.78232043251,-34.120230719034
1,4053880,20,"SWC-BV-20",114.771560914674,-34.0807612106112
0.249994848464728,1900622,21,"SWC-BV-21",114.857445984428,-34.064436895236
0.249994848464728,7567728,22,"SWC-BV-22",114.778165410976,-34.1099852911843
1,9547709,23,"SWC-BV-23",114.919270932378,-34.1288318150336
0.249994848464728,8357434,24,"SWC-BV-24",114.84872958282,-34.117769888633
1,10554776,25,"SWC-BV-25",114.786361689246,-34.1348738732783
1,9373753,26,"SWC-BV-26",114.928169109974,-34.1271412469231
1,5808644,27,"SWC-BV-27",114.77549341455,-34.0949457957363
0.249994848464728,1063328,28,"SWC-BV-28",114.800188180641,-34.0565004236253
1,8842159,29,"SWC-BV-29",114.910657717526,-34.1228428168469
1,535679,30,"SWC-BV-30",114.765004656368,-34.0515015667108
0.249994848464728,8447441,31,"SWC-BV-31",114.786859946321,-34.1174274522018
1,7262065,32,"SWC-BV-32",114.928663083603,-34.1100559267076
0.009803591473281,1589551,33,"SWC-BV-33",114.7736112638,-34.0603855780002
0.249994848464728,5941918,34,"SWC-BV-34",114.890577165542,-34.0984795152001
1,9878717,35,"SWC-BV-35",114.923712468052,-34.1316480466033
1,8031192,36,"SWC-BV-36",114.86214760893,-34.1152993715404
1,7066016,37,"SWC-BV-37",114.923545041832,-34.1083464981298
1,5879279,38,"SWC-BV-38",114.817659387226,-34.0967003458502
0.009803591473281,8251664,39,"SWC-BV-39",114.793533412658,-34.1159246576075
0.249994848464728,4692269,40,"SWC-BV-40",114.888624098372,-34.0880950189665
0.249994848464728,9040147,41,"SWC-BV-41",114.811091928827,-34.1227667817749
1,6932743,42,"SWC-BV-42",114.808594691194,-34.1052666937724
1,2979038,43,"SWC-BV-43",114.797612114565,-34.0723230041679
1,8383815,44,"SWC-BV-44",114.859863536971,-34.118180888266
1,7197894,45,"SWC-BV-45",114.789339675937,-34.1071214826989
1,5705629,46,"SWC-BV-46",114.839795647225,-34.0956491378535
1,8072844,47,"SWC-BV-47",114.78030969891,-34.1142076070643
1,4119982,48,"SWC-BV-48",114.805859048167,-34.0819197012464
