field_1,x,y,inclusion.probabilities,ID,DropC
"2222",-1753958.83609849,-3709282.99616166,1,42670023,"2222"
"5306",-1751001,-3708100,1,42614257,"5306"
"6388",-1736510,-3704847,1,42460922,"6388"
"8809",-1763422,-3709874,0.3744583,42697879,"8809"
"10815",-1735623,-3701298,1,42293597,"10815"
"11918",-1768450,-3706030,0.3744583,42516590,"11918"
"13021",-1722315,-3702777,1,42363362,"13021"
"17410",-1716696,-3701890,1,42321549,"17410"
"18510",-1754846,-3706917,1,42558468,"18510"
"19619",-1729709,-3704551,1,42447001,"19619"
"22926",-1748340,-3703368,1,42391162,"22926"
"25138",-1761352,-3708692,0.3744583,42642110,"25138"
"28644",-1758099,-3710170,1,42711841,"28644"
"30643",-1721428,-3700411,1,42251813,"30643"
"31753",-1747748,-3706326,1,42530604,"31753"
"32847",-1743608,-3703073,1,42377234,"32847"
"36144",-1753663,-3704551,1,42446920,"36144"
"37253",-1731187,-3702185,1,42335444,"37253"
"39442",-1724681,-3703960,1,42419130,"39442"
"41621",-1737693,-3706030,1,42516694,"41621"
"41818",-1751297,-3708692,1,42642144,"41818"
"44913",-1756029,-3707804,1,42600296,"44913"
"46014",-1734145,-3705438,1,42488818,"46014"
"49338",-1744495,-3704551,1,42446951,"49338"
"52644",-1717583,-3703368,1,42391266,"52644"
"57007",-1726160,-3701594,1,42307573,"57007"
"58094",-1749227,-3707509,1,42586375,"58094"
"59189",-1739468,-3703960,1,42419080,"59189"
"61581",-1761352,-3709283,0.3744583,42669998,"61581"
"67979",-1742129,-3706917,1,42558511,"67979"
"70192",-1719062,-3701298,1,42293653,"70192"
"71298",-1752776,-3706326,1,42530587,"71298"
"72390",-1730300,-3702481,1,42349391,"72390"
"74796",-1775252,-3711353,0.3744583,42767559,"74796"
"75698",-1751593,-3705438,1,42488759,"75698"
"76786",-1736215,-3702185,1,42335427,"76786"
"77878",-1762535,-3706621,0.3744583,42544498,"77878"
"81183",-1735328,-3706030,1,42516702,"81183"
"81383",-1756325,-3709579,1,42683959,"81383"
"83391",-1722611,-3699819,1,42223921,"83391"
"85588",-1741834,-3705143,1,42474848,"85588"
"88894",-1754255,-3703960,1,42419030,"88894"
"90011",-1729117,-3700707,1,42265731,"90011"
"92209",-1727047,-3703073,1,42377290,"92209"
"96599",-1715513,-3702481,1,42349441,"96599"
"97707",-1759578,-3707213,1,42572396,"97707"
"98819",-1732370,-3703664,1,42405160,"98819"
"109813",-1723794,-3701002,1,42279693,"109813"
"110901",-1750410,-3705734,1,42502707,"110901"
"111262",-1716696,-3698637,1,42168165,"111262"
"111995",-1737102,-3703368,1,42391200,"111995"
"115285",-1756916,-3705143,1,42474797,"115285"
"116371",-1734440,-3701594,1,42307545,"116371"
"118572",-1723498,-3704256,1,42433078,"118572"
"120752",-1740355,-3706326,1,42530629,"120752"
"122947",-1716992,-3699819,1,42223940,"122947"
"124053",-1755438,-3708396,1,42628186,"124053"
"125157",-1728821,-3704551,1,42447004,"125157"
"127561",-1773477,-3709874,0.3744583,42697845,"127561"
"128461",-1750114,-3703960,1,42419044,"128461"
"130654",-1760169,-3706030,1,42516618,"130654"
"131757",-1714035,-3702777,1,42363390,"131757"
"136163",-1720541,-3701890,1,42321536,"136163"
"137268",-1746565,-3706917,1,42558496,"137268"
"138362",-1742721,-3704256,1,42433013,"138362"
"140783",-1764901,-3709579,0.3744583,42683930,"140783"
"143883",-1774660,-3708396,0.3744583,42628121,"143883"
"144972",-1725273,-3705143,1,42474904,"144972"
"149334",-1713739,-3700707,1,42265783,"149334"
"150443",-1757803,-3706621,1,42544514,"150443"
"151544",-1735919,-3703073,1,42377260,"151544"
"154872",-1745087,-3704847,1,42460893,"154872"
"155961",-1740946,-3702481,1,42349355,"155961"
"157079",-1767267,-3707213,0.3744583,42572370,"157079"
"158162",-1716400,-3703664,1,42405214,"158162"
"160561",-1755142,-3708987,1,42656075,"160561"
"162564",-1727343,-3700411,1,42251793,"162564"
"163667",-1748340,-3707804,1,42600322,"163667"
"164757",-1738285,-3705438,1,42488804,"164757"
"169176",-1732666,-3701002,1,42279663,"169176"
"171349",-1721724,-3703368,1,42391252,"171349"
"175746",-1718175,-3701890,1,42321544,"175746"
"176859",-1753072,-3707509,1,42586362,"176859"
"177960",-1731187,-3703960,1,42419108,"177960"
"186927",-1757803,-3709874,1,42697898,"186927"
"188930",-1723202,-3701298,1,42293639,"188930"
"190028",-1744791,-3706030,1,42516670,"190028"
"190384",-1715513,-3698932,1,42182113,"190384"
"191122",-1740946,-3702777,1,42363299,"191122"
"193523",-1767563,-3711649,0.3744583,42781529,"193523"
"194415",-1756029,-3705438,1,42488744,"194415"
"195533",-1727934,-3702185,1,42335455,"195533"
"197742",-1725864,-3704551,1,42447014,"197742"
"199930",-1739172,-3705734,1,42502745,"199930"
