"DropC","x","y","sample"
2222,115.255758015306,-31.7214445550077,"TR-01"
5306,115.288770826291,-31.7147942237886,"TR-02"
6388,115.446466712854,-31.7049951741977,"TR-03"
8809,115.155192057491,-31.7139311242439,"TR-04"
10815,115.461359998156,-31.6742327430939,"TR-05"
11918,115.10839412773,-31.6724946712089,"TR-06"
13021,115.599179265326,-31.7052853438376,"TR-07"
17410,115.659734400932,-31.7047476484899,"TR-08"
18510,115.250161660758,-31.6989507280892,"TR-09"
19619,115.518547741398,-31.7114178169833,"TR-10"
22926,115.324248409211,-31.6757919560255,"TR-11"
25138,115.178861237328,-31.7061069395058,"TR-12"
28644,115.210761718441,-31.7238214073147,"TR-13"
30643,115.612193278073,-31.6851594622253,"TR-14"
31753,115.32581870456,-31.7032146699659,"TR-15"
32847,115.374521261252,-31.6795047636562,"TR-16"
36144,115.266355617004,-31.6792557670316,"TR-17"
37253,115.506676015589,-31.6881453186737,"TR-18"
39442,115.572421925972,-31.7127926081223,"TR-19"
41621,115.43215621044,-31.7140601224418,"TR-20"
41818,115.284719159865,-31.7197226924058,"TR-21"
44913,115.23630416946,-31.7053326967902,"TR-22"
46014,115.470446104467,-31.7134795849699,"TR-23"
49338,115.362860167388,-31.6916165676978,"TR-24"
52644,115.648102751215,-31.7168815696247,"TR-25"
57007,115.560527851361,-31.689523182545,"TR-26"
58094,115.308381745007,-31.7118687288126,"TR-27"
59189,115.416711876634,-31.6930471179773,"TR-28"
61581,115.177922445623,-31.7114254434005,"TR-29"
67979,115.384051750003,-31.7160936138184,"TR-30"
70192,115.635733053514,-31.6962836770849,"TR-31"
71298,115.272886657001,-31.6964303048188,"TR-32"
72390,115.515553508196,-31.6919936115219,"TR-33"
74796,115.028308374289,-31.7111014483879,"TR-34"
75698,115.286742405813,-31.6900357976117,"TR-35"
76786,115.453740011406,-31.6814259285443,"TR-36"
77878,115.169699630279,-31.6858625465885,"TR-37"
81183,115.457061607987,-31.7172265717723,"TR-38"
81383,115.230376406854,-31.720906360493,"TR-39"
83391,115.600655790874,-31.6782587600922,"TR-40"
85588,115.389944867896,-31.7005213059036,"TR-41"
88894,115.261059283268,-31.6731361101549,"TR-42"
90011,115.530775154939,-31.6775992622651,"TR-43"
92209,115.548885092545,-31.7016585446368,"TR-44"
96599,115.671280073192,-31.7116344194211,"TR-45"
97707,115.199882455637,-31.6952044926706,"TR-46"
98819,115.491910472888,-31.699881158141,"TR-47"
109813,115.586361866222,-31.6873390945026,"TR-48"
110901,115.29872811757,-31.694296805246,"TR-49"
111262,115.66476896867,-31.6754557264577,"TR-50"
111995,115.442549647975,-31.6908883223136,"TR-51"
115285,115.231181641722,-31.6801827116245,"TR-52"
116371,115.473350858567,-31.6784796122846,"TR-53"
118572,115.584421475546,-31.7170301556008,"TR-54"
120752,115.403660304438,-31.7131554156709,"TR-55"
122947,115.659822885298,-31.6857075946917,"TR-56"
124053,115.241588569191,-31.711460581876,"TR-57"
125157,115.527899664555,-31.7126017477524,"TR-58"
127561,115.049356357906,-31.700221991887,"TR-59"
128461,115.304642928375,-31.6787287353433,"TR-60"
130654,115.195539005049,-31.6837561538983,"TR-61"
131757,115.686390871327,-31.7162537963611,"TR-62"
136163,115.619239161776,-31.6996532291406,"TR-63"
137268,115.337342767695,-31.7101276597596,"TR-64"
138362,115.381999780436,-31.6913455617964,"TR-65"
140783,115.140092447193,-31.7092648110127,"TR-66"
143883,115.039271029811,-31.6853051807759,"TR-67"
144972,115.564345976798,-31.7226560334587,"TR-68"
149334,115.69270809261,-31.6980053259342,"TR-69"
150443,115.219504325843,-31.6922831211057,"TR-70"
151544,115.455466579069,-31.6898162208649,"TR-71"
154872,115.356162260296,-31.6934847099782,"TR-72"
155961,115.403472484948,-31.6777505766868,"TR-73"
157079,115.118957823908,-31.6847523803909,"TR-74"
158162,115.660105740504,-31.7211129116464,"TR-75"
160561,115.243769248159,-31.717180038955,"TR-76"
162564,115.549913386026,-31.677297380545,"TR-77"
163667,115.31725566125,-31.7157198492463,"TR-78"
164757,115.426850289275,-31.7079377796075,"TR-79"
169176,115.492951664147,-31.6755203270158,"TR-80"
171349,115.604485891573,-31.7113911554725,"TR-81"
175746,115.644157234207,-31.702789377734,"TR-82"
176859,115.267900658568,-31.7066775955952,"TR-83"
177960,115.503905402792,-31.7041253629504,"TR-84"
186927,115.214347589095,-31.7215588285543,"TR-85"
188930,115.592135718168,-31.690790744121,"TR-86"
190028,115.357417253886,-31.7045313312537,"TR-87"
190384,115.676769533388,-31.6796769792964,"TR-88"
191122,115.403007998904,-31.680415167687,"TR-89"
193523,115.108772060684,-31.7242664992735,"TR-90"
194415,115.240050173177,-31.6840386839807,"TR-91"
195533,115.540927912423,-31.6924824120863,"TR-92"
197742,115.559042632534,-31.716539878838,"TR-93"
199930,115.41704615532,-31.7094132668149,"TR-94"
