System #,North top camera,North top card,North bottom camera,North bottom card,East top camera,East top card,East bottom camera,East bottom card,South top camera,South top card,South bottom camera,South bottom card,West top camera,West top card,West bottom camera,West bottom card,Downwards camera,Downwards card,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
Big BOSS,010,123,011,134,012,172,013,173,014,130,015,168,016,160,017,124,044,159,1,7bd3b60a-0368-4152-894a-10c0aec33c52,11/8/2022 4:06:55 AM,Claude.Spencer_UWA,11/8/2022 4:06:55 AM,Claude.Spencer_UWA,121.886261666406,-33.8614849998518
1,010,164,011,142,012,140,013,150,014,137,015,148,016,121,017,120,044,Very rubbed off,2,b3b287f1-6bb2-4d8b-b587-7b255e0b2b17,11/9/2022 10:06:45 PM,Claude.Spencer_UWA,11/9/2022 10:06:45 PM,Claude.Spencer_UWA,121.988623332982,-34.4451283332375
Big boss,016,230,017,245,014,210,015,228,012,229,013,203,010,249,011,215,044,218,3,9df4fda9-5850-4edc-969e-8a5a75fb66f3,11/15/2022 2:47:34 AM,Claude.Spencer_UWA,11/15/2022 2:47:34 AM,Claude.Spencer_UWA,121.613180000443,-34.024810000197
Big boss,010,208,011,232,016,244,017,239,014,213,015,205,012,247,013,233,044,212,4,12a493bc-f5ea-484c-a863-4519079aedaa,11/16/2022 1:40:30 AM,Claude.Spencer_UWA,11/16/2022 1:40:30 AM,Claude.Spencer_UWA,121.935466666905,-33.8297383335762
Small Boss,001,249,002,229,003,248,004,246,005,245,006,231,009,235,008,203,,,5,9078a6ff-1d95-4321-a9e9-04ede7b6e02c,12/2/2022 11:16:08 PM,Claude.Spencer_UWA,12/2/2022 11:16:08 PM,Claude.Spencer_UWA,123.740600000412,-34.0832366666564
Small BOSS,001,249,002,229,003,248,004,246,005,245,006,231,009,235,008,203,,,6,024e9cf3-e8ed-4ca2-a003-12ca730c0250,12/4/2022 8:48:36 PM,Claude.Spencer_UWA,12/4/2022 8:48:36 PM,Claude.Spencer_UWA,124.131899999986,-33.8521266666076
Small BOSS,001,118,002,137,003,162,004,121,005,134,006,148,009,156,008,120,,,7,9f9d0daa-679d-4eed-a6ef-42f495cfe096,12/5/2022 4:53:51 AM,Claude.Spencer_UWA,12/5/2022 4:53:51 AM,Claude.Spencer_UWA,124.116966666316,-33.8455199999104
Small BOSS,001,249,002,229,003,248,004,246,005,245,006,231,009,235,008,203,,,8,3ab040eb-6223-4cfa-9b43-28cbf244522b,12/5/2022 8:56:41 PM,Claude.Spencer_UWA,12/5/2022 8:56:41 PM,Claude.Spencer_UWA,124.132269999882,-33.8519383330877
,001,249,002,229,003,248,004,246,005,245,006,231,009,235,008,203,,,9,11b4a1f0-c403-4227-b885-66e5d28d4ef9,12/8/2022 2:47:57 AM,Claude.Spencer_UWA,12/8/2022 2:49:43 AM,Claude.Spencer_UWA,119.559336057475,-34.3074382648076
Small BOSS,001,249,028 (instead of camera 002 as it rolled during the night and was on so was out of charge),229,003,248,004,246,005,245,006,231,009,235,008,203,,,10,ae8706a9-89e0-4900-b02c-4422886226cf,12/8/2022 10:02:18 PM,Claude.Spencer_UWA,12/8/2022 10:13:29 PM,Claude.Spencer_UWA,119.653430000282,-34.3728100002383
Small BOSS,001,249,028 (camera 2 was not working),204,003,248,004,246,005,245,006,231,009,235,008,203,,,11,d790b331-a127-409d-8998-90228fc9f523,12/9/2022 9:59:19 PM,Claude.Spencer_UWA,12/9/2022 9:59:19 PM,Claude.Spencer_UWA,119.650933385376,-34.3994182484918
Small BOSS,001,249,028 (camera 2 was not working),204,003,248,004,246,005,245,006,231,009,235,008,203,,,12,a6f98c6f-b690-4f79-add5-4d3fc7b8d444,12/10/2022 12:07:39 AM,Claude.Spencer_UWA,12/10/2022 12:07:59 AM,Claude.Spencer_UWA,119.650371417301,-34.4079001068204
Small BOSS,001,249,028 (camera 2 was not working),204,003,248,004,246,005,245,006,231,009,235,008,203,,,13,a4e41ae2-a1f7-440c-bd57-b8ecdde1e058,12/10/2022 9:24:37 PM,Claude.Spencer_UWA,12/10/2022 9:24:37 PM,Claude.Spencer_UWA,119.648967911061,-34.4290549889051
Small BOSS,001,249,028 (camera 2 was not working),204,003,248,004,246,005,245,006,231,009,235,008,203,,,14,b8775154-88ac-4395-b4da-a2f30f1bd1f7,12/11/2022 9:21:18 PM,Claude.Spencer_UWA,12/11/2022 9:21:18 PM,Claude.Spencer_UWA,119.647873055172,-34.4443276633913
